ID_Protocolo;Protocolo;PartidaItem;Actividad realizada;Método de validación;Sección;;
ESP-001;Espesor de Capa Compactada;8;PR0+200;val-[PR0+200] // numerico-[15:30] // numerico-[15:30] // numerico-[15:30] // numerico-fx[(#3B+#3C+#3D)/3]:[18:22];Datos;;
NIV-001;Nivelación Topográfica;1;Cotas;col-[A][Progresiva];Cotas;;
NIV-001;Nivelación Topográfica;2;Cotas;col-[B][Cota teórica (m)];Cotas;;
NIV-001;Nivelación Topográfica;3;Cotas;col-[C][Cota real (m)];Cotas;;
NIV-001;Nivelación Topográfica;4;Cotas;col-[D][Diferencia (cm)];Cotas;;
NIV-001;Nivelación Topográfica;5;PR0+050;val-[PR0+050] // numerico-[3000:3500] // numerico-[3000:3500] // numerico-fx[(#1C-#1B)*100]:[-3:3];Cotas;;
NIV-001;Nivelación Topográfica;6;PR0+125;val-[PR0+125] // numerico-[3000:3500] // numerico-[3000:3500] // numerico-fx[(#2C-#2B)*100]:[-3:3];Cotas;;
NIV-001;Nivelación Topográfica;7;PR0+200;val-[PR0+200] // numerico-[3000:3500] // numerico-[3000:3500] // numerico-fx[(#3C-#3B)*100]:[-3:3];Cotas;;
CBR-001;Atterberg y CBR;1;Límites;col-[A][Parámetro];Atterberg;;
CBR-001;Atterberg y CBR;2;Límites;col-[B][Valor];Atterberg;;
CBR-001;Atterberg y CBR;3;Límite Líquido (%);val-[LL] // numerico-[0:100]:norma[MTC E-110];Atterberg;;
CBR-001;Atterberg y CBR;4;Límite Plástico (%);val-[LP] // numerico-[0:100]:norma[MTC E-111];Atterberg;;
CBR-001;Atterberg y CBR;5;Índice Plástico (IP = LL - LP);val-[IP] // numerico-fx[#1B-#2B]:[0:50];Atterberg;;
CBR-001;Atterberg y CBR;6;CBR;col-[A][Penetración];CBR;;
CBR-001;Atterberg y CBR;7;CBR;col-[B][CBR (%)];CBR;;
CBR-001;Atterberg y CBR;8;CBR al 95% de la MDS;val-[95%] // numerico-[20:100]:norma[MTC E-132];CBR;;
CBR-001;Atterberg y CBR;9;CBR al 100% de la MDS;val-[100%] // numerico-[40:150]:norma[MTC E-132];CBR;;
CBR-001;Atterberg y CBR;10;Observaciones del ensayo;comment-[Material apto;Requiere reproceso;Pendiente de validación];CBR
