ID_Protocolo,Protocolo,PartidaItem,Actividad realizada,Método de validación,Sección
MIN-SONDAJE-LEYES,Análisis de Testigos de Sondaje - Leyes Cu y Au,9,¿Cumple ley Cu equiv ≥ 0.5%? (1=sí 0=no),"numerico-fx[SI(#8>=0.5,1,0)]:[1:1]",CUMPLIMIENTO
LAB-AGREGADOS-GRAN,Análisis Granulométrico de Agregado Fino - Tamizado,1,Peso total seco de la muestra (g) - base para cálculo de % retenidos,numerico-[300:600],PREPARACIÓN
LAB-AGREGADOS-GRAN,Análisis Granulométrico de Agregado Fino - Tamizado,2,"Tamiz N°4 (4.75 mm): A=peso retenido (g), B=% retenido = A / peso total × 100","numerico-[0:50] // numerico-fx[REDONDEAR(#2A/#1*100,2)]:[0:20]",TAMICES
LAB-AGREGADOS-GRAN,Análisis Granulométrico de Agregado Fino - Tamizado,3,"Tamiz N°8 (2.36 mm): A=peso retenido (g), B=% retenido","numerico-[20:120] // numerico-fx[REDONDEAR(#3A/#1*100,2)]:[5:30]",TAMICES
LAB-AGREGADOS-GRAN,Análisis Granulométrico de Agregado Fino - Tamizado,4,"Tamiz N°16 (1.18 mm): A=peso retenido (g), B=% retenido","numerico-[40:150] // numerico-fx[REDONDEAR(#4A/#1*100,2)]:[10:35]",TAMICES
LAB-AGREGADOS-GRAN,Análisis Granulométrico de Agregado Fino - Tamizado,5,"Tamiz N°30 (0.60 mm): A=peso retenido (g), B=% retenido","numerico-[40:150] // numerico-fx[REDONDEAR(#5A/#1*100,2)]:[10:35]",TAMICES
LAB-AGREGADOS-GRAN,Análisis Granulométrico de Agregado Fino - Tamizado,6,"Tamiz N°50 (0.30 mm): A=peso retenido (g), B=% retenido","numerico-[30:120] // numerico-fx[REDONDEAR(#6A/#1*100,2)]:[5:30]",TAMICES
LAB-AGREGADOS-GRAN,Análisis Granulométrico de Agregado Fino - Tamizado,7,"Tamiz N°100 (0.15 mm): A=peso retenido (g), B=% retenido","numerico-[10:60] // numerico-fx[REDONDEAR(#7A/#1*100,2)]:[2:15]",TAMICES
LAB-AGREGADOS-GRAN,Análisis Granulométrico de Agregado Fino - Tamizado,8,Suma de % retenidos en todos los tamices (debe estar cercano a 100%),"numerico-fx[REDONDEAR(SUMA(#2B:#7B),2)]:[95:105]",VERIFICACIÓN
LAB-AGREGADOS-GRAN,Análisis Granulométrico de Agregado Fino - Tamizado,9,Módulo de finura aproximado MF = suma % retenidos / 100,"numerico-fx[REDONDEAR(SUMA(#2B:#7B)/100,2)]:[0.95:1.05]",RESULTADO
LAB-AGREGADOS-GRAN,Análisis Granulométrico de Agregado Fino - Tamizado,10,¿Suma de retenidos dentro de tolerancia ±5%? (1=sí 0=no),"numerico-fx[SI(#8>=95,1,0)*SI(#8<=105,1,0)]:[1:1]",CUMPLIMIENTO
